generation,best_fitness,threshold,fitness,weight_extremeness_penalty,mean_recall,min_recall,mean_f1,mean_fnr,max_fnr,mean_fpr,robustness_gap
20,0.7398133962753927,0.3,0.7398133962753927,0.06966865807771683,0.9747155499367888,0.9595448798988622,0.9091773783430657,0.025284450063211127,0.040455120101137804,0.16940581542351454,0.025284450063211117
21,0.7398431904021417,0.3,0.7398431904021417,0.06907277554273605,0.9747155499367888,0.9595448798988622,0.9091773783430657,0.025284450063211127,0.040455120101137804,0.16940581542351454,0.025284450063211117
22,0.7402235476339357,0.3,0.7402235476339357,0.05976428836584091,0.975031605562579,0.9608091024020228,0.9077349506249985,0.024968394437420986,0.039190897597977246,0.1731984829329962,0.02402022756005051
23,0.7402275031471746,0.3,0.7402275031471746,0.059685178101062775,0.975031605562579,0.9608091024020228,0.9077349506249985,0.024968394437420986,0.039190897597977246,0.1731984829329962,0.02402022756005051
24,0.7402275031471746,0.3,0.7402275031471746,0.059685178101062775,0.975031605562579,0.9608091024020228,0.9077349506249985,0.024968394437420986,0.039190897597977246,0.1731984829329962,0.02402022756005051
25,0.7402275031471746,0.3,0.7402275031471746,0.059685178101062775,0.975031605562579,0.9608091024020228,0.9077349506249985,0.024968394437420986,0.039190897597977246,0.1731984829329962,0.02402022756005051
26,0.7402275031471746,0.3,0.7402275031471746,0.059685178101062775,0.975031605562579,0.9608091024020228,0.9077349506249985,0.024968394437420986,0.039190897597977246,0.1731984829329962,0.02402022756005051
27,0.7402983771676318,0.3,0.7402983771676318,0.05826769769191742,0.975031605562579,0.9608091024020228,0.9077349506249985,0.024968394437420986,0.039190897597977246,0.1731984829329962,0.02402022756005051
28,0.7402983771676318,0.3,0.7402983771676318,0.05826769769191742,0.975031605562579,0.9608091024020228,0.9077349506249985,0.024968394437420986,0.039190897597977246,0.1731984829329962,0.02402022756005051
29,0.7402983771676318,0.3,0.7402983771676318,0.05826769769191742,0.975031605562579,0.9608091024020228,0.9077349506249985,0.024968394437420986,0.039190897597977246,0.1731984829329962,0.02402022756005051
30,0.7403335303107398,0.3,0.7403335303107398,0.0575646348297596,0.975031605562579,0.9608091024020228,0.9077349506249985,0.024968394437420986,0.039190897597977246,0.1731984829329962,0.02402022756005051
31,0.7403335303107398,0.3,0.7403335303107398,0.0575646348297596,0.975031605562579,0.9608091024020228,0.9077349506249985,0.024968394437420986,0.039190897597977246,0.1731984829329962,0.02402022756005051
32,0.7403437089214222,0.3,0.7403437089214222,0.05736106261610985,0.975031605562579,0.9608091024020228,0.9077349506249985,0.024968394437420986,0.039190897597977246,0.1731984829329962,0.02402022756005051
33,0.7403437089214222,0.3,0.7403437089214222,0.05736106261610985,0.975031605562579,0.9608091024020228,0.9077349506249985,0.024968394437420986,0.039190897597977246,0.1731984829329962,0.02402022756005051
