generation,best_fitness,threshold,fitness,weight_extremeness_penalty,mean_recall,min_recall,mean_f1,mean_fnr,max_fnr,mean_fpr,robustness_gap
13,0.7406275744148012,0.2,0.7406275744148012,0.04943784326314926,0.9731352718078382,0.9582806573957017,0.9105211886353366,0.02686472819216182,0.041719342604298354,0.16434892541087232,0.025284450063211117
14,0.7409430849180726,0.2,0.7409430849180726,0.03518464416265488,0.9743994943109987,0.9608091024020228,0.9068796158736979,0.02560050568900127,0.039190897597977246,0.17446270543615677,0.02402022756005051
15,0.7409430849180726,0.2,0.7409430849180726,0.03518464416265488,0.9743994943109987,0.9608091024020228,0.9068796158736979,0.02560050568900127,0.039190897597977246,0.17446270543615677,0.02402022756005051
16,0.7409430849180726,0.2,0.7409430849180726,0.03518464416265488,0.9743994943109987,0.9608091024020228,0.9068796158736979,0.02560050568900127,0.039190897597977246,0.17446270543615677,0.02402022756005051
17,0.7410877730926994,0.2,0.7410877730926994,0.044731177389621735,0.9731352718078382,0.9582806573957017,0.9110600361655492,0.02686472819216182,0.041719342604298354,0.16308470290771176,0.025284450063211117
18,0.7411402866193427,0.2,0.7411402866193427,0.035707928240299225,0.9743994943109987,0.9608091024020228,0.9074134651403453,0.02560050568900127,0.039190897597977246,0.1731984829329962,0.02402022756005051
19,0.7411611128547563,0.2,0.7411611128547563,0.0352914035320282,0.9743994943109987,0.9608091024020228,0.9074134651403453,0.02560050568900127,0.039190897597977246,0.1731984829329962,0.02402022756005051
20,0.7411647061115625,0.2,0.7411647061115625,0.04319251701235771,0.9731352718078382,0.9582806573957017,0.9110600361655492,0.02686472819216182,0.041719342604298354,0.16308470290771176,0.025284450063211117
21,0.7411647061115625,0.2,0.7411647061115625,0.04319251701235771,0.9731352718078382,0.9582806573957017,0.9110600361655492,0.02686472819216182,0.041719342604298354,0.16308470290771176,0.025284450063211117
22,0.7411647061115625,0.2,0.7411647061115625,0.04319251701235771,0.9731352718078382,0.9582806573957017,0.9110600361655492,0.02686472819216182,0.041719342604298354,0.16308470290771176,0.025284450063211117
23,0.7411647061115625,0.2,0.7411647061115625,0.04319251701235771,0.9731352718078382,0.9582806573957017,0.9110600361655492,0.02686472819216182,0.041719342604298354,0.16308470290771176,0.025284450063211117
24,0.7411647061115625,0.2,0.7411647061115625,0.04319251701235771,0.9731352718078382,0.9582806573957017,0.9110600361655492,0.02686472819216182,0.041719342604298354,0.16308470290771176,0.025284450063211117
25,0.7411647061115625,0.2,0.7411647061115625,0.04319251701235771,0.9731352718078382,0.9582806573957017,0.9110600361655492,0.02686472819216182,0.041719342604298354,0.16308470290771176,0.025284450063211117
26,0.7411647061115625,0.2,0.7411647061115625,0.04319251701235771,0.9731352718078382,0.9582806573957017,0.9110600361655492,0.02686472819216182,0.041719342604298354,0.16308470290771176,0.025284450063211117
27,0.7411673721155646,0.2,0.7411673721155646,0.043139196932315826,0.9731352718078382,0.9582806573957017,0.9110600361655492,0.02686472819216182,0.041719342604298354,0.16308470290771176,0.025284450063211117
28,0.7411673721155646,0.2,0.7411673721155646,0.043139196932315826,0.9731352718078382,0.9582806573957017,0.9110600361655492,0.02686472819216182,0.041719342604298354,0.16308470290771176,0.025284450063211117
29,0.7411673721155646,0.2,0.7411673721155646,0.043139196932315826,0.9731352718078382,0.9582806573957017,0.9110600361655492,0.02686472819216182,0.041719342604298354,0.16308470290771176,0.025284450063211117
30,0.7411673721155646,0.2,0.7411673721155646,0.043139196932315826,0.9731352718078382,0.9582806573957017,0.9110600361655492,0.02686472819216182,0.041719342604298354,0.16308470290771176,0.025284450063211117
31,0.7411691453537467,0.2,0.7411691453537467,0.04310373216867447,0.9731352718078382,0.9582806573957017,0.9110600361655492,0.02686472819216182,0.041719342604298354,0.16308470290771176,0.025284450063211117
32,0.7411825593790534,0.2,0.7411825593790534,0.042835451662540436,0.9731352718078382,0.9582806573957017,0.9110600361655492,0.02686472819216182,0.041719342604298354,0.16308470290771176,0.025284450063211117
33,0.7411933176449063,0.2,0.7411933176449063,0.04262028634548187,0.9731352718078382,0.9582806573957017,0.9110600361655492,0.02686472819216182,0.041719342604298354,0.16308470290771176,0.025284450063211117
34,0.7411933176449063,0.2,0.7411933176449063,0.04262028634548187,0.9731352718078382,0.9582806573957017,0.9110600361655492,0.02686472819216182,0.041719342604298354,0.16308470290771176,0.025284450063211117
35,0.7411950908830883,0.2,0.7411950908830883,0.042584821581840515,0.9731352718078382,0.9582806573957017,0.9110600361655492,0.02686472819216182,0.041719342604298354,0.16308470290771176,0.025284450063211117
36,0.7412100564918044,0.2,0.7412100564918044,0.042285509407520294,0.9731352718078382,0.9582806573957017,0.9110600361655492,0.02686472819216182,0.041719342604298354,0.16308470290771176,0.025284450063211117
37,0.7412124183258536,0.2,0.7412124183258536,0.0422382727265358,0.9731352718078382,0.9582806573957017,0.9110600361655492,0.02686472819216182,0.041719342604298354,0.16308470290771176,0.025284450063211117
38,0.7412201993397,0.2,0.7412201993397,0.04208265244960785,0.9731352718078382,0.9582806573957017,0.9110600361655492,0.02686472819216182,0.041719342604298354,0.16308470290771176,0.025284450063211117
39,0.7412201993397,0.2,0.7412201993397,0.04208265244960785,0.9731352718078382,0.9582806573957017,0.9110600361655492,0.02686472819216182,0.041719342604298354,0.16308470290771176,0.025284450063211117
40,0.7412212193241837,0.2,0.7412212193241837,0.04206225275993347,0.9731352718078382,0.9582806573957017,0.9110600361655492,0.02686472819216182,0.041719342604298354,0.16308470290771176,0.025284450063211117
41,0.7412212193241837,0.2,0.7412212193241837,0.04206225275993347,0.9731352718078382,0.9582806573957017,0.9110600361655492,0.02686472819216182,0.041719342604298354,0.16308470290771176,0.025284450063211117
42,0.7412212193241837,0.2,0.7412212193241837,0.04206225275993347,0.9731352718078382,0.9582806573957017,0.9110600361655492,0.02686472819216182,0.041719342604298354,0.16308470290771176,0.025284450063211117
43,0.7412212193241837,0.2,0.7412212193241837,0.04206225275993347,0.9731352718078382,0.9582806573957017,0.9110600361655492,0.02686472819216182,0.041719342604298354,0.16308470290771176,0.025284450063211117
44,0.7412212193241837,0.2,0.7412212193241837,0.04206225275993347,0.9731352718078382,0.9582806573957017,0.9110600361655492,0.02686472819216182,0.041719342604298354,0.16308470290771176,0.025284450063211117
45,0.7412212193241837,0.2,0.7412212193241837,0.04206225275993347,0.9731352718078382,0.9582806573957017,0.9110600361655492,0.02686472819216182,0.041719342604298354,0.16308470290771176,0.025284450063211117
46,0.7412212193241837,0.2,0.7412212193241837,0.04206225275993347,0.9731352718078382,0.9582806573957017,0.9110600361655492,0.02686472819216182,0.041719342604298354,0.16308470290771176,0.025284450063211117
47,0.7412223417541507,0.2,0.7412223417541507,0.04203980416059494,0.9731352718078382,0.9582806573957017,0.9110600361655492,0.02686472819216182,0.041719342604298354,0.16308470290771176,0.025284450063211117
