seed,threshold,threshold_score,mean_recall,min_recall,mean_f1,mean_fnr,max_fnr,mean_fpr,robustness_gap
123,0.3,0.5755493187095134,0.9374209860935525,0.8621997471554994,0.9289669897028178,0.06257901390644753,0.13780025284450062,0.07964601769911504,0.10998735777496838
123,0.35,0.5682860650034486,0.9225663716814159,0.8230088495575221,0.9258688004974818,0.07743362831858407,0.17699115044247787,0.06826801517067003,0.145385587863464
123,0.4,0.5565429119060752,0.9039190897597977,0.7711757269279393,0.9184592498381996,0.09608091024020227,0.22882427307206069,0.0606826801517067,0.19089759797724393
123,0.45,0.5453507926747928,0.8830594184576486,0.729456384323641,0.9114953115613552,0.11694058154235146,0.27054361567635904,0.0493046776232617,0.22376738305941846
123,0.5,0.5347554606464469,0.8634639696586599,0.6927939317319848,0.9044304474312427,0.13653603034134007,0.30720606826801516,0.039190897597977246,0.2503160556257902
123,0.55,0.5236994617717744,0.845132743362832,0.6649810366624526,0.8956881858821513,0.15486725663716816,0.3350189633375474,0.03413400758533502,0.2654867256637169
123,0.6,0.509503915458873,0.8239570164348925,0.6257901390644753,0.8839808456852754,0.17604298356510747,0.37420986093552466,0.03034134007585335,0.2920353982300885
123,0.65,0.4970261705211768,0.8030973451327433,0.5916561314791403,0.8740661039633408,0.19690265486725664,0.4083438685208597,0.022756005056890013,0.3147914032869785
123,0.7,0.4779899073814349,0.7743362831858407,0.538558786346397,0.857919511427542,0.2256637168141593,0.461441213653603,0.015170670037926675,0.35398230088495575
123,0.75,0.4511028280277622,0.7360935524652339,0.47661188369152974,0.8331581613507673,0.2639064475347661,0.5233881163084703,0.010113780025284451,0.3944374209860936
123,0.8,0.4156189958680282,0.6864728192161821,0.40707964601769914,0.7981023143637722,0.31352718078381797,0.5929203539823009,0.006321112515802781,0.42730720606826794
